Departement,Commune,Nom_AEV,No_AEV,Type_AEV_,Arrondissement,Village,Localite,Nom_Local,Indice_IRH,Hors_Parc,Ouvrage_Positif,Usage_Ouvrage,Type_Ouvrage,Type_SE,etat_ouvrage,Perennite,Propriete_Ouvrage,DateCreat,DateModif,Categorie,No_Localite,Pop_Ajustee,Annee_Actuelle,Autre_Nom,Id_Financement,Id_Programme,A_Ouvrage_Id.Entreprise,Annee_Fin,Type_Exhaure,Id_Unite_Hydro,Nom Unité hydro,Longitude,Latitude,xCoord,yCoord,Prof_Totale,Prof_Toit,Prof_Mur,Lithologie,Date_Foration,Prof_Equipee,Prof_Sup_Crep,Longueur_Crep,Prof_Inf_Crep,Geomorphologie,Date_Dvpt,Debit_Dvpt,Niv_Statique,Date_Niveau,Debit_Exploitable,Debit_Equipe,rqtListe_Pompe.Modele_Pompe,rqtListe_Pompe.Cote_Install,Date_Essai,Conductivite,Potabilite,A_Pmotor.Info_Programme,A_Pmotor.Modele_Pompe,Puissance_Pompe,Energie,A_Pmotor.Entreprise,Info_Entreprise,A_Pmotor.Cote_Install,AM_Install,Modele_Groupe,Puissance_Groupe,Puissance_Crete,Puissance_Eolienne,Vanne,Ventouse,Clapet,Anti_Belier,Compteur,Manometre,Tamis,SONEB,Etat_AEV,Expr1004,Expr1005,A_Ouvrage_Id.Info_Programme,Hauteur_Margelle,Debit_Fin_Foration
BORGOU,TCHAOUROU,,,,TCHATCHOU,KOUBOU ,Koubou,KOUBOU EST,PAR-D-0210-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,22-Dec-17,19-Feb-18,V,04-8-06-04-07,0,2020,,,,,2017,PMH,,,"02°33'29.2""E","09°12'22.3""N",2.558111,9.206195,63.65,,,Migmatite+Gneiss+granitoide,,,,,,,,1.085,10.49,,,,VERGNET 4D,45,6/16/2017,,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,,,PSDDC,0,
BORGOU,TCHAOUROU,,,,TCHATCHOU,TCHATCHOU ,Yakpabé,YAKPABE,INC-C-0143-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,II,04-8-06-05-12,470,2020,,Conseil de l'Entente,CE III,FORAG SA,1995,PMH,Soc pan,Socle panafricain ,"02°34'23.6""E","09°05'15.0""N",2.573222,9.0875,36,22,36,Quart Facturé,24-Feb-97,36,,,,,2/24/1997,8.5,,,3.4,1.4,VERGNET,,3/14/1997,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,Conseil de l'Entente,CE III,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,KOUBOU ,Gouarou,KOUBOU,PAR-D-0282-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,V,04-8-06-04-01,454,2020,,Conseil de l'Entente,CE II,INTRAFOR-COFOR,,PMH,Soc pan,Socle panafricain ,"02°33'19.7""E","09°12'13.4""N",2.555472,9.203722,33,4.74,33,Granite fracturé,07-Dec-83,33,,,,,,,4.5,,18.4,,INDIA,,6/16/1988,1: < 400 µSxcm,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,Conseil de l'Entente,CE II,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,KOUBOU ,Meniangourou,KOUBOU,PAR-D-0285-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,V,04-8-06-04-03,671,2020,,DANEMARK,DANIDA,FORAG SA,,PMH,Soc pan,Socle panafricain ,"02°30'56.2""E","09°11'38.0""N",2.515611,9.193889,49.27,30,49.27,Granite facturé,26-Apr-02,4.17,,,,,4/26/2002,26,12.3,,15.33,1,AFRIDEV,,5/11/2002,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,DANEMARK,DANIDA,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,KOUBOU ,Gouarou,GARAROU 2,PAR-D-0427-04,FAUX,FAUX,Consommation courante,F,,B,sec,Communautaire,,,V,04-8-06-04-01,454,2020,,DANEMARK,DANIDA,FORAG SA,,PMH,Gneiss,Gneiss,"02°30'55.2""E","09°04'42.1""N",2.515333,9.078362,73.58,39,34.58,Gneiss,15-Apr-05,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,DANEMARK,DANIDA,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,KOUBOU ,Gouarou,GARAROU 2,PAR-D-0428-04,FAUX,FAUX,Consommation courante,F,,NE,sec,Communautaire,,,V,04-8-06-04-01,454,2020,,DANEMARK,DANIDA,FORAG SA,,,Granite,Granite,"02°30'55.4""E","09°04'42.4""N",2.515389,9.078444,73.63,22,53.63,Granite   sain fracturé,11-May-05,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,DANEMARK,DANIDA,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,KOUBOU ,Gah Kpassa,GAH KPASSA,PAR-D-0472-04,FAUX,VRAI,Consommation courante,F,,B,Pérenne,Communautaire,18-Mar-10,02-Jun-10,V,04-8-06-04-05,547,2020,,UEMOA,UEMOA,FORATEC,2009,PMH,,,"02°33'41.8""E","09°11'01.6""N",2.561611,9.183778,31.05,,,,22-May-09,28,18.75,5.87,24.62,,,1.733,3.32,5/22/2009,0.774,,,,,,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,UEMOA,UEMOA,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,TCHATCHOU ,Tchatchou,Sokokoubou,PAR-D-0146-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,13-Jan-11,II,04-8-06-05-09,17915,2020,,DANEMARK,DANIDA,FORAG SA,,PMH,,,"02°30'46.2""E","09°09'18.6""N",2.512833,9.155167,35,9.81,25.19,Pegmatite fracturé,09-Feb-04,35,19.21,,25.15,,2/9/2004,1.3,18.34,2/9/2004,1.3,1.3,INDIA,21,3/23/2004,1: < 400 µSxcm,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,DANEMARK,DANIDA,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,KOUBOU ,Koubou,KOUBOU,PAR-D-0036-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,V,04-8-06-04-02,3861,2020,,Conseil de l'Entente,CEI I BIS,INTRAFOR-COFOR,,PMH,Soc pan,Socle panafricain ,"02°33'18.7""E","09°12'10.0""N",2.555194,9.202778,69.45,9.25,69.45,Orthogneiss fracturé,16-Jun-88,65.81,,,,,6/16/1988,,,,1.54,1,ABI,,6/16/1988,1: < 400 µSxcm,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,Conseil de l'Entente,CEI I BIS,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,TCHATCHOU ,Gbékpanin,,PAR-D-0319-04,FAUX,VRAI,,F,PMH,,,,08-Apr-18,,II,04-8-06-05-23,0,2020,,,,,,,,,"02°37'43.4""E","09°09'10.8""N",2.628722,9.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,,,,0,0
BORGOU,TCHAOUROU,,,,TCHAOUROU,GUINIROU ,Guinirou,GUINIROU,SAV-B-0022-04,FAUX,VRAI,Consommation courante,PM,,B,Pérenne,Communautaire,,,Ib,04-8-51-02-03,4618,2020,,UNION EUROPEENNE,FED,,,Treuil,,,"02°35'07.7""E","08°56'07.4""N",2.585472,8.935389,,11,,Gneiss,,15,,,,,,,4,,24,,,,,1: < 400 µSxcm,Bonne,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,UNION EUROPEENNE,FED,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,TCHATCHOU ,Boukousséra,BOUKOUSSERA,PAR-D-0383-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,II,04-8-06-05-03,3043,2020,,,,,,PMH,,,"02°31'45.3""E","09°06'25.7""N",2.52925,9.107139,,,,,,,,,,,,,,,,,VERGNET,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,,,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,TCHATCHOU ,Boukousséra,BOUKOUSSERA,PAR-D-0382-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,II,04-8-06-05-03,3043,2020,,,,,1983,PMH,,,"02°31'37.2""E","09°06'03.5""N",2.527,9.100972,,,,,,,,,,,,,,,,,VERGNET 4D,,,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,,,,0,0
BORGOU,TCHAOUROU,,,,TCHATCHOU,TCHATCHOU ,Bouyagui Kparou,GOURE DJATO (NLLE LOC),PAR-D-0380-04,FAUX,VRAI,Consommation courante,F,PMH,B,Pérenne,Communautaire,,04-Jul-14,II,04-8-06-05-04,379,2020,,Conseil de l'Entente,CE III,FORAG SA,1996,PMH,Soc pan,Socle panafricain ,"02°33'01.6""E","09°05'54.0""N",2.550444,9.098333,40.43,12.13,40.43,Granite très quartzeux riche,21-Dec-95,40.43,,,,,12/21/1995,5.6,0.4,,2.5,1.4,VERGNET,,12/24/1995,,,,,,,,,,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,Conseil de l'Entente,CE III,,0,0
